Ubicación;Latitud;Longitud;Familia;Genero-ESPECIE
Clever Carrera, Tena, Ecuador;-1,0006359;-77,8083252;Apidae;Apis mellifera
Tena, EC-NA, EC;-1,005886348;-77,81520551;Apidae;Apis mellifera
Tena, Ecuador;-0,993497384;-77,81565272;Apidae;Apis mellifera
Sendero de la misiÃ³n, Tena, Napo, EC;-0,990063333;-77,81863333;Apidae;Apis mellifera
Quito, Quito, Pichincha, EC;-0,232986667;-78,38798667;Apidae;Apis mellifera
Av. Francisco de Orellana, Tena, Ecuador;-0,99499813;-77,8164142;Apidae;Trigona chanchamayoensis
Tena, Tena, Napo, EC;-1,016081761;-77,81857108;Apidae;Apis mellifera
"Parque AmazÃ³nico ""La Isla"", Av. Francisco de Orellana, Tena, Ecuador";-0,995216727;-77,81713867;Apidae;Xylocopa similis
Pontificia Universidad CatÃ³lica Del Ecuador, Quito, Pichincha, EC;-0,210065749;-78,49163018;Apidae;Apis mellifera
Fco de Orellana, Tena, Napo, EC;-0,992153333;-77,81496333;Apidae;Apis mellifera
Unnamed Road, Tena, Ecuador;-0,995447769;-77,81653292;Apidae;Rhathymus bicolor
